state,district,quarter,property_type,sales_count,total_value_rm,mean_price_rm,median_price_rm,p25_price_rm,p75_price_rm,under_300k,under_500k
Johor,Batu Pahat,2025Q3,semi_detached,13.0,8103000.0,623307.69,550000.0,490000.0,603000.0,0.0,5.0
Johor,Batu Pahat,2025Q3,terrace,97.0,43157000.0,444917.53,427000.0,347000.0,528000.0,18.0,72.0
Johor,Batu Pahat,2025Q4,all,171.0,76176000.0,445473.68,413000.0,270000.0,510000.0,51.0,128.0
Johor,Batu Pahat,2025Q4,condo,5.0,1885000.0,377000.0,345000.0,307000.0,440000.0,1.0,5.0
Johor,Batu Pahat,2025Q4,detached,6.0,4931000.0,821833.33,803000.0,392500.0,1130250.0,1.0,2.0
Johor,Batu Pahat,2025Q4,flat,3.0,270000.0,90000.0,80000.0,80000.0,95000.0,3.0,3.0
Johor,Batu Pahat,2025Q4,low_cost_house,17.0,2815000.0,165588.24,160000.0,120000.0,222000.0,17.0,17.0
Johor,Batu Pahat,2025Q4,semi_detached,26.0,18609000.0,715730.77,652500.0,457500.0,793500.0,1.0,10.0
Johor,Batu Pahat,2025Q4,terrace,114.0,47666000.0,418122.81,413000.0,313500.0,498000.0,28.0,91.0
Johor,Batu Pahat,2026Q1,all,79.0,30323000.0,383835.44,380000.0,245000.0,489000.0,30.0,63.0
Johor,Batu Pahat,2026Q1,condo,2.0,180000.0,90000.0,90000.0,87500.0,92500.0,2.0,2.0
Johor,Batu Pahat,2026Q1,detached,1.0,750000.0,750000.0,750000.0,750000.0,750000.0,0.0,0.0
Johor,Batu Pahat,2026Q1,flat,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,1.0,1.0
Johor,Batu Pahat,2026Q1,low_cost_flat,1.0,135000.0,135000.0,135000.0,135000.0,135000.0,1.0,1.0
Johor,Batu Pahat,2026Q1,low_cost_house,11.0,1853000.0,168454.55,185000.0,109000.0,200000.0,11.0,11.0
Johor,Batu Pahat,2026Q1,semi_detached,6.0,3748000.0,624666.67,572500.0,452500.0,717250.0,0.0,3.0
Johor,Batu Pahat,2026Q1,terrace,57.0,23557000.0,413280.7,420000.0,300000.0,499000.0,15.0,45.0
Johor,Batu Pahat,2026Q2,all,141.0,62432000.0,442780.14,390000.0,275000.0,500000.0,42.0,106.0
Johor,Batu Pahat,2026Q2,cluster,3.0,1990000.0,663333.33,658000.0,395000.0,929000.0,1.0,1.0
Johor,Batu Pahat,2026Q2,condo,3.0,292000.0,97333.33,110000.0,86000.0,115000.0,3.0,3.0
Johor,Batu Pahat,2026Q2,detached,2.0,920000.0,460000.0,460000.0,370000.0,550000.0,1.0,1.0
Johor,Batu Pahat,2026Q2,flat,2.0,175000.0,87500.0,87500.0,86250.0,88750.0,2.0,2.0
Johor,Batu Pahat,2026Q2,low_cost_flat,2.0,175000.0,87500.0,87500.0,78750.0,96250.0,2.0,2.0
Johor,Batu Pahat,2026Q2,low_cost_house,11.0,1957000.0,177909.09,168000.0,142000.0,215000.0,11.0,11.0
Johor,Batu Pahat,2026Q2,semi_detached,14.0,12366000.0,883285.71,780500.0,438000.0,1358500.0,0.0,5.0
Johor,Batu Pahat,2026Q2,terrace,104.0,44557000.0,428432.69,400000.0,328750.0,498500.0,22.0,81.0
Johor,Johor Bahru,2024Q1,all,3566.0,2202856000.0,617738.64,531000.0,360000.0,768000.0,623.0,1652.0
Johor,Johor Bahru,2024Q1,cluster,240.0,259087000.0,1079529.17,1099000.0,900000.0,1205750.0,0.0,6.0
Johor,Johor Bahru,2024Q1,condo,503.0,216217000.0,429854.87,372000.0,289000.0,475000.0,151.0,411.0
Johor,Johor Bahru,2024Q1,detached,70.0,124400000.0,1777142.86,1029000.0,572500.0,2800000.0,6.0,17.0
Johor,Johor Bahru,2024Q1,flat,77.0,14030000.0,182207.79,170000.0,150000.0,210000.0,76.0,77.0
Johor,Johor Bahru,2024Q1,low_cost_flat,218.0,30322000.0,139091.74,140000.0,125000.0,160000.0,218.0,218.0
Johor,Johor Bahru,2024Q1,low_cost_house,214.0,67035000.0,313247.66,310000.0,280000.0,340000.0,104.0,212.0
Johor,Johor Bahru,2024Q1,semi_detached,191.0,213644000.0,1118554.97,1100000.0,741500.0,1378500.0,2.0,16.0
Johor,Johor Bahru,2024Q1,terrace,2026.0,1267194000.0,625465.94,580000.0,475000.0,750000.0,56.0,674.0
Johor,Johor Bahru,2024Q1,townhouse,27.0,10927000.0,404703.7,350000.0,280000.0,490000.0,10.0,21.0
Johor,Johor Bahru,2024Q2,all,3799.0,2329249000.0,613121.61,503000.0,358000.0,750000.0,670.0,1898.0
Johor,Johor Bahru,2024Q2,cluster,237.0,256208000.0,1081046.41,1080000.0,924000.0,1200000.0,0.0,5.0
Johor,Johor Bahru,2024Q2,condo,640.0,284690000.0,444828.12,390000.0,298750.0,490000.0,184.0,505.0
Johor,Johor Bahru,2024Q2,detached,57.0,104694000.0,1836736.84,1080000.0,490000.0,3000000.0,3.0,16.0
Johor,Johor Bahru,2024Q2,flat,85.0,16318000.0,191976.47,180000.0,160000.0,220000.0,85.0,85.0
Johor,Johor Bahru,2024Q2,low_cost_flat,232.0,34080000.0,146896.55,150000.0,130000.0,165000.0,232.0,232.0
Johor,Johor Bahru,2024Q2,low_cost_house,284.0,89869000.0,316440.14,320000.0,290000.0,350000.0,112.0,283.0
Johor,Johor Bahru,2024Q2,semi_detached,207.0,261122000.0,1261458.94,1200000.0,850000.0,1673000.0,0.0,9.0
Johor,Johor Bahru,2024Q2,terrace,2032.0,1270454000.0,625223.43,578000.0,470000.0,730000.0,48.0,745.0
Johor,Johor Bahru,2024Q2,townhouse,25.0,11814000.0,472560.0,371000.0,328000.0,590000.0,6.0,18.0
Johor,Johor Bahru,2024Q3,all,3081.0,1876710000.0,609123.66,500000.0,360000.0,750000.0,476.0,1546.0
Johor,Johor Bahru,2024Q3,cluster,194.0,211579000.0,1090613.4,1085500.0,930000.0,1200750.0,0.0,2.0
Johor,Johor Bahru,2024Q3,condo,537.0,231385000.0,430884.54,380000.0,308000.0,480000.0,131.0,444.0
Johor,Johor Bahru,2024Q3,detached,66.0,93127000.0,1411015.15,886500.0,570000.0,1962500.0,9.0,14.0
Johor,Johor Bahru,2024Q3,flat,78.0,15263000.0,195679.49,180000.0,150000.0,230000.0,74.0,78.0
Johor,Johor Bahru,2024Q3,low_cost_flat,167.0,25098000.0,150287.43,150000.0,135000.0,170000.0,167.0,167.0
Johor,Johor Bahru,2024Q3,low_cost_house,183.0,60111000.0,328475.41,330000.0,300000.0,355000.0,54.0,182.0
Johor,Johor Bahru,2024Q3,semi_detached,162.0,199203000.0,1229648.15,1170000.0,850000.0,1592500.0,0.0,10.0
Johor,Johor Bahru,2024Q3,terrace,1669.0,1030805000.0,617618.33,575000.0,460000.0,735000.0,35.0,627.0
Johor,Johor Bahru,2024Q3,townhouse,25.0,10139000.0,405560.0,380000.0,305000.0,450000.0,6.0,22.0
Johor,Johor Bahru,2024Q4,all,730.0,441328000.0,604558.9,525000.0,380000.0,690000.0,94.0,350.0
Johor,Johor Bahru,2024Q4,cluster,27.0,28810000.0,1067037.04,1050000.0,900000.0,1200000.0,0.0,1.0
Johor,Johor Bahru,2024Q4,condo,132.0,53023000.0,401689.39,360000.0,298250.0,450000.0,39.0,116.0
Johor,Johor Bahru,2024Q4,detached,15.0,18813000.0,1254200.0,825000.0,400000.0,1439000.0,1.0,6.0
Johor,Johor Bahru,2024Q4,flat,9.0,1427000.0,158555.56,160000.0,150000.0,190000.0,9.0,9.0
Johor,Johor Bahru,2024Q4,low_cost_flat,29.0,4011000.0,138310.34,150000.0,128000.0,178000.0,29.0,29.0
Johor,Johor Bahru,2024Q4,low_cost_house,30.0,10030000.0,334333.33,340000.0,302500.0,350000.0,8.0,30.0
Johor,Johor Bahru,2024Q4,semi_detached,49.0,57503000.0,1173530.61,1100000.0,710000.0,1540000.0,0.0,2.0
Johor,Johor Bahru,2024Q4,terrace,428.0,263656000.0,616018.69,580000.0,479500.0,691250.0,5.0,148.0
Johor,Johor Bahru,2024Q4,townhouse,11.0,4055000.0,368636.36,350000.0,305000.0,450000.0,3.0,9.0
Johor,Johor Bahru,2025Q1,all,523.0,330888000.0,632673.04,570000.0,429000.0,755000.0,50.0,217.0
Johor,Johor Bahru,2025Q1,cluster,21.0,27029000.0,1287095.24,1300000.0,1050000.0,1490000.0,0.0,0.0
Johor,Johor Bahru,2025Q1,condo,89.0,39180000.0,440224.72,400000.0,330000.0,500000.0,20.0,67.0
Johor,Johor Bahru,2025Q1,detached,7.0,10690000.0,1527142.86,1200000.0,680000.0,2415000.0,1.0,2.0
Johor,Johor Bahru,2025Q1,flat,8.0,1430000.0,178750.0,180000.0,153750.0,193750.0,8.0,8.0
Johor,Johor Bahru,2025Q1,low_cost_flat,14.0,2154000.0,153857.14,157500.0,142500.0,167500.0,14.0,14.0
Johor,Johor Bahru,2025Q1,low_cost_house,20.0,6885000.0,344250.0,350000.0,315000.0,372500.0,5.0,20.0
Johor,Johor Bahru,2025Q1,semi_detached,19.0,21754000.0,1144947.37,1150000.0,792500.0,1421500.0,0.0,1.0
Johor,Johor Bahru,2025Q1,terrace,343.0,220906000.0,644040.82,610000.0,499000.0,760000.0,2.0,103.0
Johor,Johor Bahru,2025Q1,townhouse,2.0,860000.0,430000.0,430000.0,425000.0,435000.0,0.0,2.0
Johor,Johor Bahru,2025Q2,all,699.0,477341000.0,682891.27,598000.0,431500.0,777500.0,65.0,270.0
Johor,Johor Bahru,2025Q2,cluster,38.0,43874000.0,1154578.95,1225000.0,902500.0,1392500.0,0.0,1.0
Johor,Johor Bahru,2025Q2,condo,133.0,56670000.0,426090.23,400000.0,320000.0,512000.0,27.0,99.0
Johor,Johor Bahru,2025Q2,detached,18.0,42102000.0,2339000.0,1685000.0,600000.0,3321000.0,2.0,5.0
Johor,Johor Bahru,2025Q2,flat,7.0,1508000.0,215428.57,200000.0,160000.0,270000.0,6.0,7.0
Johor,Johor Bahru,2025Q2,low_cost_flat,17.0,2669000.0,157000.0,150000.0,140000.0,180000.0,17.0,17.0
Johor,Johor Bahru,2025Q2,low_cost_house,31.0,10990000.0,354516.13,350000.0,325000.0,385000.0,6.0,31.0
Johor,Johor Bahru,2025Q2,semi_detached,36.0,46971000.0,1304750.0,1215000.0,853250.0,1755000.0,0.0,2.0
Johor,Johor Bahru,2025Q2,terrace,411.0,268446000.0,653153.28,630000.0,504000.0,760000.0,7.0,103.0
Johor,Johor Bahru,2025Q2,townhouse,8.0,4111000.0,513875.0,489000.0,402500.0,633500.0,0.0,5.0
Johor,Johor Bahru,2025Q3,all,723.0,457033000.0,632134.16,560000.0,425000.0,726500.0,68.0,306.0
Johor,Johor Bahru,2025Q3,cluster,30.0,35404000.0,1180133.33,1200000.0,997500.0,1322500.0,1.0,1.0
Johor,Johor Bahru,2025Q3,condo,146.0,66443000.0,455089.04,416000.0,330000.0,545000.0,28.0,108.0
Johor,Johor Bahru,2025Q3,detached,19.0,18634000.0,980736.84,540000.0,377500.0,1075000.0,4.0,8.0
Johor,Johor Bahru,2025Q3,flat,9.0,2010000.0,223333.33,225000.0,200000.0,270000.0,9.0,9.0
Johor,Johor Bahru,2025Q3,low_cost_flat,16.0,2376000.0,148500.0,155000.0,123500.0,175000.0,16.0,16.0
Johor,Johor Bahru,2025Q3,low_cost_house,27.0,9378000.0,347333.33,350000.0,325000.0,385000.0,5.0,26.0
Johor,Johor Bahru,2025Q3,semi_detached,43.0,54992000.0,1278883.72,1200000.0,925000.0,1600000.0,0.0,1.0
Johor,Johor Bahru,2025Q3,terrace,423.0,263318000.0,622501.18,600000.0,498000.0,714000.0,3.0,131.0
Johor,Johor Bahru,2025Q3,townhouse,10.0,4478000.0,447800.0,424000.0,327500.0,552500.0,2.0,6.0
Johor,Johor Bahru,2025Q4,all,680.0,449765000.0,661419.12,540000.0,383750.0,750000.0,85.0,323.0
Johor,Johor Bahru,2025Q4,cluster,33.0,42044000.0,1274060.61,1280000.0,1020000.0,1500000.0,0.0,0.0
Johor,Johor Bahru,2025Q4,condo,109.0,46090000.0,422844.04,400000.0,340000.0,465000.0,17.0,90.0
Johor,Johor Bahru,2025Q4,detached,15.0,41240000.0,2749333.33,1600000.0,790000.0,3470000.0,0.0,3.0
Johor,Johor Bahru,2025Q4,flat,14.0,2818000.0,201285.71,195000.0,180000.0,226000.0,13.0,14.0
Johor,Johor Bahru,2025Q4,low_cost_flat,41.0,6966000.0,169902.44,175000.0,150000.0,190000.0,41.0,41.0
Johor,Johor Bahru,2025Q4,low_cost_house,48.0,17556000.0,365750.0,355000.0,330000.0,398500.0,8.0,46.0
Johor,Johor Bahru,2025Q4,semi_detached,46.0,57319000.0,1246065.22,1065000.0,732500.0,1689750.0,0.0,3.0
Johor,Johor Bahru,2025Q4,terrace,367.0,232762000.0,634228.88,600000.0,491000.0,741500.0,5.0,120.0
Johor,Johor Bahru,2025Q4,townhouse,7.0,2970000.0,424285.71,450000.0,380000.0,460000.0,1.0,6.0
Johor,Johor Bahru,2026Q1,all,410.0,255025000.0,622012.2,550000.0,400000.0,748750.0,62.0,192.0
Johor,Johor Bahru,2026Q1,cluster,14.0,18498000.0,1321285.71,1395000.0,1191000.0,1477500.0,0.0,0.0
Johor,Johor Bahru,2026Q1,condo,59.0,24014000.0,407016.95,380000.0,295000.0,483500.0,17.0,49.0
Johor,Johor Bahru,2026Q1,detached,6.0,4995000.0,832500.0,472500.0,186250.0,1062500.0,3.0,3.0
Johor,Johor Bahru,2026Q1,flat,11.0,2138000.0,194363.64,210000.0,185000.0,221500.0,11.0,11.0
Johor,Johor Bahru,2026Q1,low_cost_flat,26.0,4834000.0,185923.08,182500.0,158500.0,200000.0,26.0,26.0
Johor,Johor Bahru,2026Q1,low_cost_house,35.0,13178000.0,376514.29,400000.0,337500.0,420000.0,5.0,35.0
Johor,Johor Bahru,2026Q1,semi_detached,24.0,32714000.0,1363083.33,1300000.0,837500.0,1877500.0,0.0,1.0
Johor,Johor Bahru,2026Q1,terrace,229.0,151500000.0,661572.05,630000.0,500000.0,760000.0,0.0,63.0
Johor,Johor Bahru,2026Q1,townhouse,6.0,3154000.0,525666.67,465000.0,421000.0,663500.0,0.0,4.0
Johor,Johor Bahru,2026Q2,all,620.0,386210000.0,622919.35,530000.0,390000.0,702000.0,85.0,301.0
Johor,Johor Bahru,2026Q2,cluster,23.0,30018000.0,1305130.43,1300000.0,1025000.0,1579000.0,0.0,0.0
Johor,Johor Bahru,2026Q2,condo,116.0,45972000.0,396310.34,392500.0,317500.0,479250.0,27.0,95.0
Johor,Johor Bahru,2026Q2,detached,19.0,34940000.0,1838947.37,1350000.0,790000.0,2250000.0,1.0,2.0
Johor,Johor Bahru,2026Q2,flat,19.0,4048000.0,213052.63,210000.0,190000.0,232500.0,19.0,19.0
Johor,Johor Bahru,2026Q2,low_cost_flat,30.0,5886000.0,196200.0,195000.0,178500.0,217500.0,30.0,30.0
Johor,Johor Bahru,2026Q2,low_cost_house,42.0,15979000.0,380452.38,390000.0,342500.0,417500.0,5.0,42.0
Johor,Johor Bahru,2026Q2,semi_detached,23.0,31160000.0,1354782.61,1400000.0,714000.0,1749500.0,1.0,3.0
Johor,Johor Bahru,2026Q2,terrace,341.0,215187000.0,631046.92,600000.0,490000.0,740000.0,1.0,105.0
Johor,Johor Bahru,2026Q2,townhouse,7.0,3020000.0,431428.57,400000.0,345000.0,500000.0,1.0,5.0
Johor,Kluang,2024Q1,all,322.0,106842000.0,331807.45,280000.0,180000.0,420000.0,179.0,275.0
Johor,Kluang,2024Q1,cluster,4.0,2562000.0,640500.0,638000.0,552000.0,726500.0,0.0,1.0
Johor,Kluang,2024Q1,detached,20.0,9795000.0,489750.0,389000.0,180000.0,488000.0,8.0,16.0
Johor,Kluang,2024Q1,flat,2.0,182000.0,91000.0,91000.0,86500.0,95500.0,2.0,2.0
Johor,Kluang,2024Q1,low_cost_flat,2.0,144000.0,72000.0,72000.0,68000.0,76000.0,2.0,2.0
Johor,Kluang,2024Q1,low_cost_house,49.0,6787000.0,138510.2,140000.0,118000.0,160000.0,48.0,49.0
Johor,Kluang,2024Q1,semi_detached,29.0,17818000.0,614413.79,605000.0,420000.0,866000.0,5.0,12.0
Johor,Kluang,2024Q1,terrace,216.0,69554000.0,322009.26,300000.0,219750.0,387750.0,114.0,193.0
Johor,Kluang,2024Q2,all,360.0,130723000.0,363119.44,300000.0,189250.0,480000.0,184.0,279.0
Johor,Kluang,2024Q2,cluster,14.0,8188000.0,584857.14,569500.0,537000.0,642000.0,1.0,3.0
Johor,Kluang,2024Q2,detached,29.0,15697000.0,541275.86,479000.0,280000.0,806000.0,9.0,17.0
Johor,Kluang,2024Q2,low_cost_house,46.0,7091000.0,154152.17,160000.0,122500.0,180000.0,46.0,46.0
Johor,Kluang,2024Q2,semi_detached,34.0,22595000.0,664558.82,665000.0,554500.0,797750.0,2.0,7.0
Johor,Kluang,2024Q2,terrace,237.0,77152000.0,325535.86,300000.0,220000.0,406000.0,126.0,206.0
Johor,Kluang,2024Q3,all,324.0,116843000.0,360626.54,300000.0,200000.0,454000.0,163.0,263.0
Johor,Kluang,2024Q3,cluster,14.0,9426000.0,673285.71,640000.0,564500.0,779750.0,0.0,3.0
Johor,Kluang,2024Q3,detached,23.0,10838000.0,471217.39,410000.0,250000.0,545000.0,7.0,17.0
Johor,Kluang,2024Q3,flat,3.0,253000.0,84333.33,73000.0,71500.0,91500.0,3.0,3.0
Johor,Kluang,2024Q3,low_cost_flat,1.0,35000.0,35000.0,35000.0,35000.0,35000.0,1.0,1.0
Johor,Kluang,2024Q3,low_cost_house,37.0,5545000.0,149864.86,165000.0,130000.0,175000.0,37.0,37.0
Johor,Kluang,2024Q3,semi_detached,37.0,24042000.0,649783.78,640000.0,483000.0,811000.0,1.0,12.0
Johor,Kluang,2024Q3,terrace,209.0,66704000.0,319157.89,290000.0,245000.0,399000.0,114.0,190.0
Johor,Kluang,2024Q4,all,93.0,37533000.0,403580.65,340000.0,250000.0,498000.0,37.0,70.0
Johor,Kluang,2024Q4,cluster,8.0,5529000.0,691125.0,658000.0,594500.0,830750.0,0.0,1.0
Johor,Kluang,2024Q4,detached,6.0,3466000.0,577666.67,434000.0,372500.0,495500.0,1.0,5.0
Johor,Kluang,2024Q4,flat,1.0,138000.0,138000.0,138000.0,138000.0,138000.0,1.0,1.0
Johor,Kluang,2024Q4,low_cost_house,9.0,1352000.0,150222.22,150000.0,129000.0,170000.0,9.0,9.0
Johor,Kluang,2024Q4,semi_detached,10.0,6682000.0,668200.0,650000.0,579750.0,779500.0,0.0,1.0
Johor,Kluang,2024Q4,terrace,59.0,20366000.0,345186.44,320000.0,260000.0,411000.0,26.0,53.0
Johor,Kluang,2025Q1,all,91.0,38065000.0,418296.7,345000.0,261000.0,546000.0,37.0,66.0
Johor,Kluang,2025Q1,cluster,3.0,2154000.0,718000.0,658000.0,658000.0,748000.0,0.0,0.0
Johor,Kluang,2025Q1,detached,5.0,3742000.0,748400.0,550000.0,360000.0,1250000.0,1.0,2.0
Johor,Kluang,2025Q1,flat,1.0,70000.0,70000.0,70000.0,70000.0,70000.0,1.0,1.0
Johor,Kluang,2025Q1,low_cost_house,4.0,525000.0,131250.0,150000.0,128750.0,152500.0,4.0,4.0
Johor,Kluang,2025Q1,semi_detached,13.0,8587000.0,660538.46,718000.0,500000.0,807000.0,0.0,4.0
Johor,Kluang,2025Q1,terrace,65.0,22987000.0,353646.15,320000.0,261000.0,408000.0,31.0,55.0
Johor,Kluang,2025Q2,all,106.0,45121000.0,425669.81,353500.0,250000.0,579000.0,47.0,68.0
Johor,Kluang,2025Q2,cluster,9.0,7141000.0,793444.44,801000.0,659000.0,818000.0,0.0,0.0
Johor,Kluang,2025Q2,detached,4.0,1818000.0,454500.0,412500.0,318750.0,548250.0,1.0,3.0
Johor,Kluang,2025Q2,flat,1.0,105000.0,105000.0,105000.0,105000.0,105000.0,1.0,1.0
Johor,Kluang,2025Q2,low_cost_house,2.0,340000.0,170000.0,170000.0,145000.0,195000.0,2.0,2.0
Johor,Kluang,2025Q2,semi_detached,18.0,12400000.0,688888.89,718000.0,593500.0,838000.0,1.0,3.0
Johor,Kluang,2025Q2,terrace,72.0,23317000.0,323847.22,295000.0,201750.0,412500.0,42.0,59.0
Johor,Kluang,2025Q3,all,128.0,52227000.0,408023.44,338000.0,250000.0,515000.0,58.0,94.0
Johor,Kluang,2025Q3,cluster,6.0,4373000.0,728833.33,742000.0,591000.0,833000.0,0.0,0.0
Johor,Kluang,2025Q3,detached,7.0,6510000.0,930000.0,538000.0,331000.0,1500000.0,2.0,2.0
